POSITION,NAME OF CANDIDATE,PARTY,AGE,GENDER,HIGHEST QUALIFICATION
PRESIDENT,KRIZ DAVID,LM,44,M,PhD
VICE-,AZAEL VASHI CHECHERA,LM,35,F,Btech
PRESIDENT,MUHAMMED USMAN ZAKI,LP,69,M,BSc
VICE-,AKPAN TOM EZEKIEL,LP,42,M,SSCE
PRESIDENT,ADESANYA-DAVIES MERCY OLUFUNMILAYO,MAJA,56,F,PhD
VICE-,IBENEME ANTHONY IFESINACHI,MAJA,43,M,BA
PRESIDENT,BASHAYI ISA DANSARKI,MMN,43,M,SSCE
VICE-,ADEPOJU OLUWATOYIN GRACE,MMN,35,F,HND
PRESIDENT,SANTURAKI HAMISU,MPN,44,M,BSc
VICE-,UFONDU CHINWE FLORENCE,MPN,45,F,NCE
PRESIDENT,RABIA YASAI HASSAN CENGIZ,NAC,66,F,MA
VICE-,UHUEGBU CHINEME JUSTICE,NAC,44,M,LLB
PRESIDENT,ADEMOLA BABATUNDE ABIDEMI,NCMP,37,M,HND
VICE-,TATAJI AISHA ASABE,NCMP,51,F,SSCE
PRESIDENT,SALISU YUNUSA TANKO,NCP,48,M,MBA
VICE-,JAMES FUNMI,NCP,53,F,SSCE
PRESIDENT,A. EDOSOMWAN  JOHNSON,NDCP,64,M,SSCE
VICE-,NASIRU MOHAMMED,NDCP,51,M,MSc
PRESIDENT,AKPUA ROBINSON,NDLP,39,M,LLB
VICE-,AHAMADU UMARU,NDLP,49,M,SSCE
PRESIDENT,COM. ISHAKA PAUL OFEMILE,NEPP,60,M,OND
VICE-,VINCENT AKINFELAMI AKINBANAI,NEPP,46,M,BA
PRESIDENT,DR ASUKWO MENDIE ARCHIBONG,NFD,50,M,PhD
VICE-,MRS ITE  DONALD-EKPO,NFD,41,F,BA
PRESIDENT,ATUEJIDE  EUNICE UCHE JULIAN,NIP,40,F,LLB
VICE-,BELLO  MUHAMMAD JIBRIL,NIP,39,M,LLB
PRESIDENT,IKE KEKE,NNPP,39,M,BPHIL
VICE-,JOHNSON OMEDE,NNPP,30,M,LLB
PRESIDENT,MAINA MAIMUNA KYARI,NPC,41,F,NCE
VICE-,OLUWOLE YETUNDE FOLAKE,NPC,44,F,LLB
PRESIDENT,IBRAHIM USMAN ALHAJI,NRM,48,M,BSc
VICE-,NWAFOR-ORIZU ONWA,NRM,45,M,MA
PRESIDENT,MOSES AYIBIOWU,NUP,45,M,MBA
VICE-,IDOKO MICHAEL EMAIKU,NUP,46,M,BSc
PRESIDENT,FELIX NICOLAS,PCP,37,M,OND
VICE-,ADO BABA,PCP,49,M,BSc
PRESIDENT,ABUBAKAR ATIKU,PDP,71,M,OND
VICE-,OBI PETER,PDP,57,M,BA
PRESIDENT,AMEH PETER OJONUGWA,PPA,41,M,BSc
VICE-,EDUN KEHINDE,PPA,53,M,LLB
PRESIDENT,VICTOR OKHAI,PPC,52,M,BA
VICE-,IYAN TAMA HAMISU LAMIDO,PPC,52,M,OND
PRESIDENT,MAJOR HAMZA AL MUSTAFA,PPN,58,M,SSCE
VICE-,OPARA ROBERT,PPN,53,M,SSCE
PRESIDENT,GBENGA OLAWEPO-HASHIM,PT,49,M,BSc
VICE-,AGWUNCHA NWANKWO ARTHUR,PT,76,M,PhD
PRESIDENT,"ISRAEL NONYEREM DAVIDSON, DR.",RAP,59,M,PhD
VICE-,HASSAN DAWUD JIDDA,RAP,31,M,MSc
PRESIDENT,OSUALA CHUKWUDI JOHN KENNEDY,RBNP,59,M,HND
VICE-,MUHAMMAD ALHAJI FALALI,RBNP,56,M,NCE
PRESIDENT,NSEHE NSEOBONG,RP,33,M,BSc
VICE-,ABUH MOHAMMED,RP,44,M,OND
PRESIDENT,DA-SILVA THOMAS AYO,SNC,56,M,HND
VICE-,MUHAMMAD AISHA ABUBAKAR,SNC,54,F,HND
PRESIDENT,AHMED BUHARI,SNP,36,M,SSCE
VICE-,NWAGU KINGSLEY PHILIP,SNP,38,M,MBA
PRESIDENT,BALOGUN ISIAKA ISHOLA,UDP,59,M,OND
VICE-,SHUAIBU MUHAMMAD,UDP,49,M,BSc
PRESIDENT,MARK EMMANUEL AUDU,UP,46,M,BSc
VICE-,OKEKE MOSES,UP,72,M,MSc
PRESIDENT,INWA AHMED SAKIL,UPN,62,M,HND
VICE-,NKWOCHA ECHEMOR NKWOCHA,UPN,59,M,HND
PRESIDENT,NWANGWU UCHENNA PETER,WTPN,69,M,PhD
VICE-,ADEBIWALE OLAUREWAJU ODUNLADE,WTPN,58,M,PGD
PRESIDENT,ALI SOYODE M,YES,55,M,OND
VICE-,ABDULLAHI BALKISU MUSTAPHA,YES,42,F,OND
PRESIDENT,MOGHALU KINGSLEY BOSAH CHIEDU,YPP,55,M,LLB
VICE-,ABDULLAHI UMMA GETSO,YPP,37,F,HND
